NOS_MONTH,Delta_Batches
01Jan2013 0:00:00,24.1844306
01Feb2013 0:00:00,-29.4362
01Mar2013 0:00:00,-41.3537999
01Apr2013 0:00:00,-55.4305001
01May2013 0:00:00,-46.2574
01Jun2013 0:00:00,-76.7647132
01Jul2013 0:00:00,-14.6569998
01Aug2013 0:00:00,-10.6735998
01Sep2013 0:00:00,-34.3568031
01Oct2013 0:00:00,-30.104304
01Nov2013 0:00:00,-25.5291403
01Dec2013 0:00:00,-61.7303003
01Jan2014 0:00:00,-29.6627998
01Feb2014 0:00:00,-27.2096979
01Mar2014 0:00:00,-38.2415499
01Apr2014 0:00:00,15.214768
01May2014 0:00:00,-8.70676
01Jun2014 0:00:00,-4.3757003
01Jul2014 0:00:00,-0.6844999
01Aug2014 0:00:00,-3.1648
01Sep2014 0:00:00,-29.9880002
01Oct2014 0:00:00,-34.040874
01Nov2014 0:00:00,-31.52950881
01Dec2014 0:00:00,-15.8421574
01Jan2015 0:00:00,-4.008877
01Feb2015 0:00:00,6.52513
01Mar2015 0:00:00,2.28011
01Apr2015 0:00:00,-7.2255801
01May2015 0:00:00,-17.6052397
01Jun2015 0:00:00,-3.0457441
01Jul2015 0:00:00,-1.520118
01Aug2015 0:00:00,-33.8216106
01Sep2015 0:00:00,-73.6869799
01Oct2015 0:00:00,-77.3109399
01Nov2015 0:00:00,-49.2523428
01Dec2015 0:00:00,-10.5625699
01Jan2016 0:00:00,-12.6957382
01Feb2016 0:00:00,-17.2924581
01Mar2016 0:00:00,-23.018855
01Apr2016 0:00:00,42.394066
01May2016 0:00:00,-151.07168
01Jun2016 0:00:00,-83.8360789
01Jul2016 0:00:00,-30.956652
01Aug2016 0:00:00,-50.75
01Sep2016 0:00:00,-0.9285029
01Oct2016 0:00:00,-78.25
01Nov2016 0:00:00,-2.83809
01Dec2016 0:00:00,5.72524
01Jan2017 0:00:00,0.0445499
01Feb2017 0:00:00,-7.54398
01Mar2017 0:00:00,-1.6405653
01Apr2017 0:00:00,-25.5605401
01May2017 0:00:00,-58.9103099
01Jun2017 0:00:00,-49.282539
01Jul2017 0:00:00,-39.15
01Aug2017 0:00:00,-23
01Sep2017 0:00:00,-20
01Oct2016 0:00:00,-35
